id,IL 2,,,,,deg_dec,curve_len,tan_len,,,,
sta_eq,148292.43,0,,,,,,,,,,
id,River Dr N Connector,,,,,,,,,,,
location,55000,120946.6,IL 2,,,,,,,,,
55000,171.92,SE,68,29,22.4801,,,,,,,
id,River Dr N,,,,,,,,,,,
location,4998.07,55171.92,River Dr N Connector,,,,,,,,,
4687.89,220.8473,NW,2,10,48.6664,,,,,,,
4908.74,948.97,L,6,2,16,,,,,,,
5086.87,153.1329,NW,12,56,5.5712,,,,,,,
id,Lake Louise Entrance,,,,,,,,,,,
location,55000,120946.6,IL 2,,,,,,,,,
55000,132.9,NW,68,29,22.4801,,,,,,,
id,Kennedy Hill Rd,,,,,,,,,,,
location,60003.34,126049.05,IL 2,,,,,,,,,
60003.34,74.0329,NW,31,48,31.7332,,,,,,,
60077.37,800,R,36,30,38,,,,,,,
60587.16,893.3239,NE,4,42,6.5582,,,,,,,
id,Frontage Rd Connector,,,,,,,,,,,
location,60040,137115.5597,IL 2,,,,,,,,,
60040,144.48,SE,20,57,5.4994,,,,,,,
id,Meridian Rd,,,,,,,,,,,
location,62000,148292.43,IL 2,,,,,,,,,
62000,1312.4904,NW,1,54,39.7115,,,,,,,
id,Gold River Ave N,,,,,,,,,,,
location,63000,2541.35,IL 2,,,,,,,,,
62700,208.4648,NE,0,25,5.5524,,,,,,,
id,Gold River Ave S,,,,,,,,,,,
location,63000,2541.35,IL 2,,,,,,,,,
62700,300,NE,0,25,5.5524,,,,,,,
id,Blue Lake Ave,,,,,,,,,,,
location,64000,2969.26,IL 2,,,,,,,,,
64000,300,NW,0,20,48.9969,,,,,,,
id,Willow Run,,,,,,,,,,,
location,65000,3436.72,IL 2,,,,,,,,,
64800,200,NW,2,8,40.9273,,,,,,,
id,Antler Trail,,,,,,,,,,,
location,66000,3700,IL 2,,,,,,,,,
66000,200,NE,22,41,10.5415,,,,,,,
id,Silver Creek Rd S,,,,,,,,,,,
location,67000,4091.07,IL 2,,,,,,,,,
66585.01,441.9881,NW,7,0,18.6346,,,,,,,
id,Silver Creek Rd N,,,,,,,,,,,
location,68000,6141.58,IL 2,,,,,,,,,
67762.37,99.3938,NW,28,25,4.9434,,,,,,,
67861.76,1500,R,3,15,38,,,,,,,
67947.12,52.8807,NW,25,9,27.1998,,,,,,,
id,Prairie Rd S,,,,,,,,,,,
location,30000,8117.55,IL 2,,,,,,,,,
29700,65.7504,NW,18,35,52.5704,,,,,,,
29765.75,4000,L,2,52,1,,,,,,,
29965.89,34.11,NW,21,27,53.0786,,,,,,,
id,Prairie Rd N,,,,,,,,,,,
location,163911.98,8117.55,IL 2,,,,,,,,,
163911.98,115.6538,NW,6,22,48.0355,,,,,,,
164027.63,1600,R,5,27,54,,,,,,,
164180.25,450.347,NW,0,54,53.6896,,,,,,,
id,CEL_201+44.09,,,,,,,,,,,
location,40000,20144.09,IL 2,,,,,,,,,
40000,85.46,NW,45,24,38.8436,,,,,,,
40085.46,50,R,128,46,5,,,,,,,
40197.83,65.99,NE,83,21,25.8871,,,,,,,
40263.82,85,L,29,46,29,,,,,,,
40307.99,30.7,NE,53,34,57.1944,,,,,,,
40338.69,35,L,68,49,8,,,,,,,
40380.72,63.83,NW,15,14,11.1707,,,,,,,
