NORTHING,EASTING,BEARING,DISTANCE,DEGREE,RADIUS,BACK,FORWARD,PARENT_ID,ID,curve_length,curve tangent,curve delta,radians,cum len,tan len
,,,,,,,50000,,Sugar Grove Road,,,,,,,
605.237275699633,-706.107527295728,139.3986,930,,670,,,,,588.381679881022,314.679100637121,50.3161,0.878181611762719,1203.7025792439,615.320899362878
2455.00008408401,-676.484010996592,89.0825,1850,,670,,,,,1069.95421863494,687.753825063403,91.4983,1.59694659497753,1917.52129293442,847.567074299475
2437.97043028129,-2356.39769654456,180.5808,1680,,670,,,,,506.155164419716,265.8428311204,43.28441,0.755455469283159,1232.55850823591,726.403343816197
2874.76763067348,-2829.69045164815,137.29639,644.048,,0,,,,,,,,,378.2051688796,600.76359
,,,,,,,1000,,Penrose Road W,,,,,4731.98754929383,
,,,,,,50909,1000,Sugar Grove Road,,,,,,,
452.322935461379,-756.162903625233,244.64028,154.097,,175,,,,,77.4568569921749,39.3733201436167,25.35972,0.442610611383857,,114.723679856383
-106.703064538621,-756.162903625233,270,559.026,,0,,,,,,,,,,
,,,,,,,2000,,Penrose Road E,,,,,,
2247.23112780924,-1148.28677303149,,,,,52586.22,3008.866,Sugar Grove Road,,,,,,,
2371.03419296732,-1024.60249328073,270,429.658,,175,,,,,137.528672564806,72.5365808362728,45.0275,0.785878128941747,449.560672564806,
2591.56821113411,-803.856675981262,224.9725,312.032,,0,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2455.00008408401,-676.484010996592,,,,,,,,,,,,,,
1767.33443709678,-680.740875559135,,,,,,,,,,,,,,
479.896690712462,-467.545897472353,52051.2696535434,534.950346456622,0.798433352920332,,,,,,,,,,,
2247.23112780924,-1148.28677303149,,,,,,,,,,,,,,
123.803065158084,123.684279750756,,,,,,,,,,,,,,
-220.534018166788,-220.74581729947,,,,,,,,,,,,,,
